TP13,30.96,72.71,0.00,TPTP20R,TP20R
TP14,24.61,72.71,0.00,TPTP20R,TP20R
TP15,20.26,72.71,0.00,TPTP20R,TP20R
TP16,11.91,72.71,0.00,TPTP20R,TP20R
TP17,5.56,72.71,0.00,TPTP20R,TP20R
TP2,70.33,77.79,0.00,TPTP20R,TP20R
TP3,65.25,77.79,0.00,TPTP20R,TP20R
TP4,60.17,77.79,0.00,TPTP20R,TP20R
TP5,55.09,77.79,0.00,TPTP20R,TP20R
TP6,50.01,77.79,0.00,TPTP20R,TP20R
TP7,44.93,77.79,0.00,TPTP20R,TP20R
TP8,39.85,77.79,0.00,TPTP20R,TP20R
TP9,34.77,77.79,0.00,TPTP20R,TP20R
U1,37.69,53.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.60,57.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.10,59.05,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,128.61,55.42,0.00,MAX17048G+T10,SON50P200X200X80-9N
